식당_개수,카페_개수,편의점_개수,편의시설_개수,관광지_수,상점_수,공원_수,주차장_수,지하철역_수,POI_다양성,교통접근성점수,행사명,장소,event_lat,event_lng,최종_예상수익
20,20,20,20,10,20,10,20,2,9,20,K-핸드메이드페어 2025,서울 삼성동 코엑스 1층  B홀,37.5118239121138,127.059159043842,520000
20,20,15,20,0,20,6,1,1,8,10,2025 금천하모니축제,"금천구청광장, 안양천다목적광장, 금천구 전역",37.4570656519531,126.896036850324,4950000
20,20,20,20,0,20,15,4,0,7,0,2025 서울라이트 한강 빛섬축제,뚝섬 한강공원,37.5293645718995,127.073978164616,625000
20,20,20,20,4,20,4,11,1,9,10,[광진문화재단] 제4회 2025 나루 스트릿 댄스 페스티벌,나루아트센터 야외광장,37.5375706269359,127.070576040786,625000
20,20,20,20,10,20,10,20,2,9,20,2025 핸드아티코리아,코엑스전시장 C홀,37.5118239121138,127.059159043842,520000
20,20,20,20,10,20,10,20,2,9,20,서울일러스트레이션페어 V.19,코엑스 C홀,37.5118239121138,127.059159043842,520000
20,20,18,20,17,20,14,9,0,8,0,[전문연주자시리즈] 강동엽 비올라 독주회,영산아트홀,37.5292719570904,126.924892738645,4950000
20,20,10,20,0,20,1,3,0,7,0,정진우 바이올린 독주회 ,금호아트홀 연세 ,37.5660508394158,126.943916239886,280000
20,20,20,20,20,20,20,20,2,9,20,카이로스 앙상블 제3회 정기연주회,세종문화회관 체임버홀 ,37.5726241,126.9760053,270000
20,15,2,20,0,20,4,2,1,8,10,[중랑구립정보도서관] 중랑 이음:인문학 6월 이낙준의사 [대한민국 의학의 역사],중랑구립정보도서관 4층 강당,37.6151705656244,127.086906408215,1750000
20,20,20,20,1,20,3,4,1,9,10,[동대문문화재단] 2025 기획공연 와인et멜로디 vol.3 김유진,선농단역사문화관 문화중정,37.5811837728607,127.031888509482,4875000
20,20,20,20,16,20,11,18,1,9,10,[서울생활문화센터 서교] 소셜드라마클럽 입체낭독극 [콘센트],서교스퀘어 (서울 마포구 서교동 494),37.5508138163956,126.916493990351,280000
20,20,20,20,20,20,20,20,2,9,20,김정현 플루트 독주회 ,세종문화회관 체임버홀,37.5726241,126.9760053,270000
20,20,11,20,4,20,5,5,0,8,0,[서울시립 북서울미술관] 해커톤 프로젝트 [동시대 회화 진단],서울시립 북서울미술관 B1 스튜디오2,37.6406604547872,127.066865579183,1750000
20,20,20,20,14,20,7,13,2,9,20,하나은행과 함께하는 함신익과 심포니 송 마스터즈 시리즈 VI [영웅들을 추모하며],롯데콘서트홀,37.5137519612953,127.104446890835,625000
20,20,9,20,2,20,4,6,1,9,10,[마포문화재단] 2025 M발레시리즈 해설이 있는 발레 [Ballet Plus-낭만발레로의 초대],마포아트센터 아트홀맥,37.5499060881738,126.945533810385,280000
20,20,20,20,20,20,20,20,2,9,20,[세종예술아카데미] 퇴근길 미술 한 잔 : 모네에서 앤디워홀까지,세종예술아카데미  서클홀,37.5726241,126.9760053,270000
20,20,20,20,3,20,9,3,0,8,0,[동대문문화재단] 체인지어스 종이팩으로 환경을 체인지,장안어린이도서관 3층 강의실,37.571244986067,127.073201039917,625000
20,20,19,20,6,20,7,16,2,9,20,[중구문화재단] 뮤지컬 [멤피스],충무아트센터 대극장,37.5659409687669,127.014790889728,4875000
20,17,4,20,1,20,7,3,1,9,10,[도봉문화원] 제5회 도봉옛길 문화제 [어? 흥(興)!],평화울림터(평화문화진지) ,37.690780138783,127.046812594303,1750000
